Std_dev of noise: 1.00, accu: 0.60
The dropout rates: 0.20-0.20-0.20-0.50-0.50
Std_dev of noise: 1.00, accu: 0.60
The dropout rates: 0.45-0.63-0.20-0.38-0.29
Std_dev of noise: 1.00, accu: 0.65
The dropout rates: 0.26-0.31-0.41-0.44-0.52
Std_dev of noise: 1.00, accu: 0.72
The dropout rates: 0.45-0.61-0.32-0.73-0.22
Std_dev of noise: 1.00, accu: 0.68
The dropout rates: 0.67-0.77-0.34-0.76-0.35
Std_dev of noise: 1.00, accu: 0.57
The dropout rates: 0.38-0.48-0.55-0.65-0.48
Std_dev of noise: 1.00, accu: 0.62
The dropout rates: 0.51-0.65-0.33-0.74-0.25
Std_dev of noise: 1.00, accu: 0.49
The dropout rates: 0.43-0.76-0.71-0.55-0.33
Std_dev of noise: 1.00, accu: 0.50
The dropout rates: 0.43-0.63-0.31-0.73-0.26
Current iter	 Std_dev of noise	 accu	 dropout rates
1	 1.0	 0.60109770099322	 0.20-0.20-0.20-0.50-0.50
2	 1.0	 0.598225998878479	 0.45-0.63-0.20-0.38-0.29
3	 1.0	 0.6490951518217722	 0.26-0.31-0.41-0.44-0.52
4	 1.0	 0.7174553523461024	 0.45-0.61-0.32-0.73-0.22
5	 1.0	 0.678137332201004	 0.67-0.77-0.34-0.76-0.35
6	 1.0	 0.5697129175066948	 0.38-0.48-0.55-0.65-0.48
7	 1.0	 0.6248322476943334	 0.51-0.65-0.33-0.74-0.25
8	 1.0	 0.4934291784962018	 0.43-0.76-0.71-0.55-0.33
9	 1.0	 0.5017443244655927	 0.43-0.63-0.31-0.73-0.26
Current iter	 Std_dev of noise	 accu	 dropout rates
1	 1.0	 0.28614573876063026	 0.20-0.20-0.20-0.50-0.50
2	 1.0	 0.26002355590462684	 0.45-0.63-0.20-0.38-0.29
3	 1.0	 0.27310544401407244	 0.26-0.31-0.41-0.44-0.52
Current iter	 Std_dev of noise	 accu	 dropout rates
1	 1.0	 0.551004625360171	 0.20-0.20-0.20-0.50-0.50
2	 1.0	 0.5259162440896035	 0.45-0.63-0.20-0.38-0.29
3	 1.0	 0.4845800203581651	 0.26-0.31-0.41-0.44-0.52
4	 1.0	 0.4744351829091708	 0.45-0.61-0.32-0.73-0.22
5	 1.0	 0.36133177975813546	 0.67-0.77-0.34-0.76-0.35
6	 1.0	 0.37930845469236374	 0.38-0.48-0.55-0.65-0.48
7	 1.0	 0.5730121582746506	 0.24-0.27-0.20-0.44-0.41
8	 1.0	 0.38737159421046574	 0.43-0.76-0.71-0.55-0.33
